Metodo,Acuracia
"Clf MultNeg ""v(g)"" and ""E""",0.996996996996997
"Clf MultNeg ""v(g)"" and ""B""",0.993993993993994
"Clf MultNeg ""v(g)"" and ""T""",0.996996996996997
"Clf MultNeg ""v(g)"" and ""lOCode""",0.996996996996997
"Clf MultNeg ""v(g)"" and ""lOComment""",0.9819819819819819
"Clf MultNeg ""v(g)"" and ""locCodeAndComment""",1.0
"Clf MultNeg ""v(g)"" and ""lOBlank""",0.9819819819819819
"Clf MultNeg ""v(g)"" and ""uniq_Op""",0.993993993993994
"Clf MultNeg ""v(g)"" and ""uniq_Opnd""",0.990990990990991
"Clf MultNeg ""v(g)"" and ""total_Op""",0.996996996996997
"Clf MultNeg ""v(g)"" and ""total_Opnd""",0.996996996996997
"Clf MultNeg ""v(g)"" and ""branchCount""",0.996996996996997
"Clf MultNeg ""ev(g)"" and ""iv(G)""",0.996996996996997
"Clf MultNeg ""ev(g)"" and ""N""",1.0
"Clf MultNeg ""ev(g)"" and ""V""",0.996996996996997
"Clf MultNeg ""ev(g)"" and ""L""",0.996996996996997
"Clf MultNeg ""ev(g)"" and ""D""",0.996996996996997
"Clf MultNeg ""ev(g)"" and ""I""",0.996996996996997
"Clf MultNeg ""ev(g)"" and ""E""",0.996996996996997
"Clf MultNeg ""ev(g)"" and ""B""",0.990990990990991
"Clf MultNeg ""ev(g)"" and ""T""",0.996996996996997
"Clf MultNeg ""ev(g)"" and ""lOCode""",0.996996996996997
"Clf MultNeg ""ev(g)"" and ""lOComment""",0.9819819819819819
"Clf MultNeg ""ev(g)"" and ""locCodeAndComment""",1.0
"Clf MultNeg ""ev(g)"" and ""lOBlank""",0.9819819819819819
"Clf MultNeg ""ev(g)"" and ""uniq_Op""",0.993993993993994
"Clf MultNeg ""ev(g)"" and ""uniq_Opnd""",0.990990990990991
"Clf MultNeg ""ev(g)"" and ""total_Op""",0.996996996996997
"Clf MultNeg ""ev(g)"" and ""total_Opnd""",0.996996996996997
"Clf MultNeg ""ev(g)"" and ""branchCount""",0.996996996996997
"Clf MultNeg ""iv(G)"" and ""N""",0.993993993993994
"Clf MultNeg ""iv(G)"" and ""V""",0.996996996996997
"Clf MultNeg ""iv(G)"" and ""L""",0.996996996996997
"Clf MultNeg ""iv(G)"" and ""D""",0.996996996996997
"Clf MultNeg ""iv(G)"" and ""I""",0.990990990990991
"Clf MultNeg ""iv(G)"" and ""E""",0.996996996996997
"Clf MultNeg ""iv(G)"" and ""B""",0.993993993993994
"Clf MultNeg ""iv(G)"" and ""T""",0.996996996996997
"Clf MultNeg ""iv(G)"" and ""lOCode""",0.996996996996997
"Clf MultNeg ""iv(G)"" and ""lOComment""",0.9819819819819819
"Clf MultNeg ""iv(G)"" and ""locCodeAndComment""",0.996996996996997
"Clf MultNeg ""iv(G)"" and ""lOBlank""",0.9819819819819819
"Clf MultNeg ""iv(G)"" and ""uniq_Op""",0.993993993993994
"Clf MultNeg ""iv(G)"" and ""uniq_Opnd""",0.990990990990991
"Clf MultNeg ""iv(G)"" and ""total_Op""",0.996996996996997
"Clf MultNeg ""iv(G)"" and ""total_Opnd""",0.996996996996997
"Clf MultNeg ""iv(G)"" and ""branchCount""",0.993993993993994
"Clf MultNeg ""N"" and ""V""",0.996996996996997
"Clf MultNeg ""N"" and ""L""",0.993993993993994
"Clf MultNeg ""N"" and ""D""",0.993993993993994
"Clf MultNeg ""N"" and ""I""",0.987987987987988
"Clf MultNeg ""N"" and ""E""",0.993993993993994
"Clf MultNeg ""N"" and ""B""",0.990990990990991
"Clf MultNeg ""N"" and ""T""",0.996996996996997
"Clf MultNeg ""N"" and ""lOCode""",0.990990990990991
"Clf MultNeg ""N"" and ""lOComment""",0.9819819819819819
"Clf MultNeg ""N"" and ""locCodeAndComment""",0.996996996996997
"Clf MultNeg ""N"" and ""lOBlank""",0.9819819819819819
"Clf MultNeg ""N"" and ""uniq_Op""",0.987987987987988
"Clf MultNeg ""N"" and ""uniq_Opnd""",0.987987987987988
"Clf MultNeg ""N"" and ""total_Op""",0.993993993993994
"Clf MultNeg ""N"" and ""total_Opnd""",0.996996996996997
"Clf MultNeg ""N"" and ""branchCount""",0.993993993993994
"Clf MultNeg ""V"" and ""L""",0.996996996996997
"Clf MultNeg ""V"" and ""D""",0.993993993993994
"Clf MultNeg ""V"" and ""I""",0.990990990990991
"Clf MultNeg ""V"" and ""E""",0.996996996996997
"Clf MultNeg ""V"" and ""B""",0.990990990990991
"Clf MultNeg ""V"" and ""T""",0.996996996996997
"Clf MultNeg ""V"" and ""lOCode""",0.996996996996997
"Clf MultNeg ""V"" and ""lOComment""",0.9819819819819819
"Clf MultNeg ""V"" and ""locCodeAndComment""",0.996996996996997
"Clf MultNeg ""V"" and ""lOBlank""",0.984984984984985
"Clf MultNeg ""V"" and ""uniq_Op""",0.993993993993994
"Clf MultNeg ""V"" and ""uniq_Opnd""",0.987987987987988
"Clf MultNeg ""V"" and ""total_Op""",0.996996996996997
"Clf MultNeg ""V"" and ""total_Opnd""",0.993993993993994
"Clf MultNeg ""V"" and ""branchCount""",0.993993993993994
"Clf MultNeg ""L"" and ""D""",0.993993993993994
"Clf MultNeg ""L"" and ""I""",0.993993993993994
"Clf MultNeg ""L"" and ""E""",0.996996996996997
"Clf MultNeg ""L"" and ""B""",0.990990990990991
"Clf MultNeg ""L"" and ""T""",0.996996996996997
"Clf MultNeg ""L"" and ""lOCode""",0.996996996996997
"Clf MultNeg ""L"" and ""lOComment""",0.984984984984985
"Clf MultNeg ""L"" and ""locCodeAndComment""",0.996996996996997
"Clf MultNeg ""L"" and ""lOBlank""",0.9819819819819819
"Clf MultNeg ""L"" and ""uniq_Op""",0.987987987987988
"Clf MultNeg ""L"" and ""uniq_Opnd""",0.9819819819819819
